"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Vou perguntar agora sobre o grau de confiança em uma série de políticos:";"Você confia no Geraldo Alckmin?";"Você confia no Jair Bolsonaro?";"Você confia no Marcelo Crivela?";"Você confia no Marco Feliciano?";"Você confia no Lula?";"Você confia na Marina Silva?";"Estamos chegando no fim. Vou ler duas afirmações e gostaria de saber se você concorda com elas:";"Num momento de crise, o governo precisa cortar gastos inclusive em saúde e educação.";"Quem começou a trabalhar cedo deve poder se aposentar cedo, sem limite mínimo de idade.";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Qual é a sua denominação religiosa?";"outra:";"_id";"_uuid";"_submission_time";"_index"
"2017-06-15T15:36:21.174-03";"ac:d0:74:c4:ee:19";"Bianca";"4";"";"21";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"não confia";"não conhece";"confia muito";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"assembléia de Deus";"";"4191868";"3f1fd259-8beb-4ce3-b75f-515d0d1e15df";"2017-06-15T19:18:43";"264"
"2017-06-15T15:46:26.305-03";"ac:d0:74:c4:ee:19";"Bianca";"4";"";"54";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio completo";"branca";"";"igreja batista";"";"4191869";"108a0bc8-db17-4dd6-9b72-c8536a63f3b8";"2017-06-15T19:18:47";"265"
"2017-06-15T15:49:50.896-03";"ac:d0:74:c4:ee:19";"Bianca";"4";"";"27";"nenhum";"nada disso";"";"nada conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"igreja universal";"";"4191870";"3427ff2b-31ec-43c6-a27a-6db2b9ec7054";"2017-06-15T19:18:49";"266"
"2017-06-15T10:47:09.739-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"44";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"confia pouco";"não conhece";"confia pouco";"confia pouco";"não confia";"confia pouco";"";"não concorda";"não sabe";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior incompleto";"parda";"";"igreja renascer em Cristo";"";"4191978";"23f2c7eb-c8ce-4575-b19d-666ab95f26bd";"2017-06-15T19:35:36";"267"
"2017-06-15T11:00:16.239-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"23";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não sabe";"não confia";"não confia";"não confia";"";"concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4191979";"9455e2ba-92e6-47c3-bab2-fe812d241204";"2017-06-15T19:35:36";"268"
"2017-06-15T11:06:53.507-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"24";"REDE";"de direita";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia muito";"não confia";"não sabe";"não confia";"não confia";"";"concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino superior incompleto";"preta";"";"igreja renascer em Cristo";"";"4191980";"42707501-00f7-4a8a-84d4-f2ff4c920a61";"2017-06-15T19:35:37";"269"
"2017-06-15T11:17:06.713-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"22";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"não conhece";"confia pouco";"não conhece";"confia pouco";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"amarela";"";"igreja renascer em Cristo";"";"4191981";"4cdb88d8-12e1-49c5-b929-956e76e5ee7a";"2017-06-15T19:35:37";"270"
"2017-06-15T11:26:45.390-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"19";"nenhum";"não sei";"";"pouco conservador";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"";"não confia";"não conhece";"não conhece";"não conhece";"não confia";"confia pouco";"";"concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191982";"dedcaa88-0da9-44b8-b656-66c8b7ff8197";"2017-06-15T19:35:38";"271"
"2017-06-15T11:37:56.485-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"54";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"não confia";"confia muito";"confia muito";"confia pouco";"confia muito";"";"não concorda";"não concorda";"";"feminino";"até R$1.880,00";"ensino médio incompleto";"parda";"";"igreja renascer em Cristo";"";"4191983";"dabd0add-bdf7-49ef-a56d-0be17ef7f52d";"2017-06-15T19:35:39";"272"
"2017-06-15T11:50:06.228-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"54";"PSDB";"centro";"mais de direita";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"confia muito";"confia pouco";"confia pouco";"confia muito";"não confia";"confia pouco";"";"concorda";"não concorda";"";"masculino";"de R$9.370,00 até R$18.740,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4191984";"22f86470-4b5a-44e5-8fcf-f3e8bff8a711";"2017-06-15T19:35:39";"273"
"2017-06-15T12:18:26.213-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"17";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia muito";"não confia";"não confia";"não confia";"não confia";"";"concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino médio incompleto";"branca";"";"igreja renascer em Cristo";"";"4191985";"f1a66bbb-5459-4d9d-93e4-9753fc900606";"2017-06-15T19:35:40";"274"
"2017-06-15T12:26:13.590-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"19";"nenhum";"não sei";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não conhece";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191986";"897bc4b1-b5e1-4fb0-87da-61b0a0d07698";"2017-06-15T19:35:40";"275"
"2017-06-15T12:40:48.272-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"26";"PT";"de direita";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"confia pouco";"não confia";"não confia";"confia pouco";"confia muito";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"parda";"";"outra";"Presbiteriano renovada";"4191987";"0f2d3aa0-3dfa-4bc1-9f08-8fb47d6a45b9";"2017-06-15T19:35:41";"276"
"2017-06-15T12:52:39.842-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"34";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"parda";"";"outra";"Cefea";"4191988";"29b3f88d-ff1e-446d-b144-208b32c8cfec";"2017-06-15T19:35:42";"277"
"2017-06-15T13:01:17.504-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"19";"nenhum";"de esquerda";"";"pouco conservador";"não sei";"";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"não sei";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"não sabe";"";"feminino";"de R$4.690,00 até R$9.370,00";"ensino médio incompleto";"preta";"";"igreja renascer em Cristo";"";"4191989";"36675689-5943-4665-976b-69431d25bd27";"2017-06-15T19:35:43";"278"
"2017-06-15T13:07:17.202-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"18";"PSC";"de esquerda";"";"pouco conservador";"não sei";"";"não sei";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia pouco";"não conhece";"não confia";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"parda";"";"igreja renascer em Cristo";"";"4191990";"f063d1c8-ee0b-4430-a5dc-4e0c9ede398a";"2017-06-15T19:35:44";"279"
"2017-06-15T13:30:05.707-03";"ac:d0:74:8c:e6:04";"Fernanfa";"1";"";"31";"nenhum";"nada disso";"";"pouco conservador";"pouco antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"confia pouco";"não confia";"não confia";"não confia";"confia pouco";"confia muito";"";"não concorda";"concorda";"";"feminino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4191991";"037ca9e5-26ef-4f59-888b-9873695d6d55";"2017-06-15T19:35:45";"280"
"2017-06-15T13:36:45.618-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"68";"PT";"nada disso";"";"muito conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"confia muito";"não conhece";"confia muito";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$4.690,00 até R$9.370,00";"ensino fundamental incompleto";"preta";"";"igreja mundial";"";"4191992";"183c7738-a5e0-40b6-94a8-a7400092d62e";"2017-06-15T19:35:45";"281"
"2017-06-15T13:54:32.365-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"19";"nenhum";"não sei";"";"muito conservador";"muito antipetista";"";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"";"não confia";"confia muito";"não conhece";"confia pouco";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191993";"ea10bcab-7635-487a-b4a5-b87634631461";"2017-06-15T19:35:46";"282"
"2017-06-15T14:48:18.532-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"39";"nenhum";"nada disso";"";"não sei";"nada antipetista";"";"não sei";"não sei";"não concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não sei";"";"confia pouco";"não conhece";"confia pouco";"confia muito";"não confia";"confia muito";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191994";"18cfd975-6d4a-46d7-8613-269700de40f9";"2017-06-15T19:35:47";"283"
"2017-06-15T14:55:59.601-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"37";"outro";"nada disso";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia muito";"confia pouco";"não conhece";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"outra";"Não sabe";"outra";"Fonte de vida";"4191995";"c8ec0f9d-1dc3-4efc-8f3e-930759662d22";"2017-06-15T19:35:48";"284"
"2017-06-15T15:03:29.877-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"54";"nenhum";"nada disso";"";"muito conservador";"não sei";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não conhece";"não conhece";"confia muito";"confia muito";"não sabe";"não conhece";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4191996";"58389571-e1f3-4ea4-ac79-ce9e7731fb1a";"2017-06-15T19:35:48";"285"
"2017-06-15T15:13:16.883-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"34";"outro";"nada disso";"";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"confia pouco";"não conhece";"não conhece";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"mais de R$18.740,00";"ensino médio completo";"branca";"";"igreja renascer em Cristo";"";"4191997";"f91d4fec-edba-4f93-a8f9-8e96d175034c";"2017-06-15T19:35:49";"286"
"2017-06-15T15:22:43.842-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"21";"não sei";"não sei";"";"muito conservador";"muito antipetista";"";"não sei";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não sei";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"não confia";"não sabe";"não conhece";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"parda";"";"igreja batista";"";"4191998";"ca2522d5-35c0-4e91-a5d3-6abea809db9d";"2017-06-15T19:35:49";"287"
"2017-06-15T15:31:30.788-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"35";"nenhum";"nada disso";"";"nada conservador";"não sei";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não sei";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio incompleto";"preta";"";"assembléia de Deus";"";"4191999";"2031781f-c386-4678-ae10-1f3a87a990ca";"2017-06-15T19:35:50";"288"
"2017-06-15T15:41:09.771-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"47";"nenhum";"nada disso";"";"muito conservador";"não sei";"";"não sei";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"não concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino superior completo";"parda";"";"igreja renascer em Cristo";"";"4192000";"50937d50-e666-4644-bb72-18ccbb96bd9a";"2017-06-15T19:35:50";"289"
"2017-06-15T15:50:11.776-03";"ac:d0:74:8c:e6:04";"Fernanda";"1";"";"19";"nenhum";"não sei";"";"muito conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"";"não conhece";"não conhece";"não conhece";"confia pouco";"não confia";"não conhece";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino médio incompleto";"parda";"";"assembléia de Deus";"";"4192001";"3c0ece0a-57f9-448f-b242-47f93a11a95a";"2017-06-15T19:35:51";"290"
"2017-06-15T10:41:39.409-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"40";"PT";"não sei";"";"nada conservador";"nada antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"confia muito";"não confia";"";"não concorda";"não concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"preta";"";"igreja renascer em Cristo";"";"4192008";"5aa9b339-3e70-4e09-ab81-d9c4534c0d7c";"2017-06-15T19:37:27";"291"
"2017-06-15T10:56:57.308-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"40";"nenhum";"de direita";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"";"não confia";"confia muito";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"preta";"";"igreja renascer em Cristo";"";"4192009";"8a40d24f-dbe2-4ec4-94ae-0afbbe708490";"2017-06-15T19:37:30";"292"
"2017-06-15T11:07:49.825-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"30";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4192010";"c1a9b590-f9b8-4850-af19-cd8c8a8eee11";"2017-06-15T19:37:33";"293"
"2017-06-15T11:15:04.360-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"18";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia pouco";"";"concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"branca";"";"assembléia de Deus";"";"4192011";"40fa1898-a7f4-400e-bb89-08ad44fc1e59";"2017-06-15T19:37:34";"294"
"2017-06-15T11:34:24.565-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"55";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"branca";"";"igreja renascer em Cristo";"";"4192012";"646306d6-19b8-432c-b9de-88bd9ef5627c";"2017-06-15T19:37:35";"295"
"2017-06-15T11:49:55.838-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"22";"não sei";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"confia muito";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino superior incompleto";"branca";"";"outra";"Palavra da verdade e fé";"4192014";"2eb6bed3-ce0a-4aa3-a22d-82efd0ee7d80";"2017-06-15T19:37:38";"296"
"2017-06-15T12:12:30.330-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"56";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$9.370,00 até R$18.740,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4192016";"bc5f4f90-5fd5-47cc-a386-82fd3db7d43d";"2017-06-15T19:37:39";"297"
"2017-06-15T12:19:52.776-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"56";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"";"não confia";"confia muito";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"branca";"";"igreja renascer em Cristo";"";"4192025";"6c68fddc-a989-41ab-be4c-0a6574e939a0";"2017-06-15T19:37:44";"298"
