"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para terminar este bloco vou fazer duas perguntas.";"Você concorda com a reforma da previdência do governo Temer?";"Você é a favor da permanência do presidente Temer no governo?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-26T15:22:01.526-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"56";"Nenhum";"de direita";"";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"não";"sim";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098726";"1a0d7069-169c-445b-b93c-eca70da96948";"2017-03-26T21:36:38";"328"
"2017-03-26T15:29:13.758-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"61";"Nenhum";"de direita";"";"pouco conservador";"pouco feminista";"muito antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098727";"fb7bb177-bb72-46c7-bf68-49a2b944f494";"2017-03-26T21:36:39";"329"
"2017-03-26T15:37:35.819-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"42";"Nenhum";"de direita";"";"pouco conservador";"nada feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"vgn2sjciR5Jk9msQGsMPxT";"3098728";"03fb44fb-4e54-401f-a95c-802902a6b5fa";"2017-03-26T21:36:39";"330"
"2017-03-26T15:46:52.618-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"70";"Nenhum";"de direita";"";"nada conservador";"muito feminista";"muito antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"";"não";"não";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098729";"a98b2075-5d88-43b8-a175-c7a9c3741a65";"2017-03-26T21:36:40";"331"
"2017-03-26T16:11:56.597-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"40";"Nenhum";"centro";"mais de direita";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"amarela";"";"vgn2sjciR5Jk9msQGsMPxT";"3098730";"a37f02e1-e6a2-4dd4-a800-a8cd0da9965f";"2017-03-26T21:36:42";"332"
"2017-03-26T16:27:51.726-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"34";"NOVO";"centro";"mais de direita";"pouco conservador";"nada feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"";"não";"sim";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior incompleto";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098731";"a80e751c-84f9-4924-823f-ac06d7d6943b";"2017-03-26T21:36:44";"333"
"2017-03-26T16:40:23.691-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"38";"Nenhum";"nada disso";"";"pouco conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"não sei";"não concorda";"não sei";"concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"sim";"";"masculino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098732";"282419fd-c801-4420-bf85-9f9dc25c9dd8";"2017-03-26T21:36:45";"334"
"2017-03-26T16:55:10.162-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"60";"Nenhum";"centro";"mais de squerda";"pouco conservador";"pouco feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"outra";"Mestiça";"vgn2sjciR5Jk9msQGsMPxT";"3098733";"9000080d-0634-4b36-abc7-e3176fb76e36";"2017-03-26T21:36:46";"335"
"2017-03-26T17:09:56.425-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"36";"Nenhum";"centro";"mais de squerda";"pouco conservador";"pouco feminista";"muito antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"";"não";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098734";"599915e1-08b6-41a4-a188-ed137061c186";"2017-03-26T21:36:48";"336"
"2017-03-26T17:38:29.179-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"46";"Nenhum";"centro";"mais de squerda";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"não";"não";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098735";"35999fd4-e397-46ea-a16c-5d6224ad9cc8";"2017-03-26T21:36:52";"337"
