Indicação de data e hora,Entrevistador(a),Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,Como veio para manifestação,Está satisfeito(a) com o governo Dilma:,Imprensa,Partidos políticos,PT,PSDB,PMDB,REDE,PSOL,ONGs,Movimentos Sociais,Movimento Brasil Livre,Secundaristas,Passe Livre,MST,MTST,Vem Pra Rua,Revoltados Online,Políticos,Aécio Neves,Dilma Rousseff,Eduardo Cunha,Fernando Haddad,Geraldo Alckmin,Jair Bolsonaro,Jean Wyllys,José Serra,Luciana Genro,Lula,Marina Silva,Twitter,Whatsapp,Facebook,Entregar o poder para um político honesto,Entregar o poder para alguém de fora do jogo político,Entregar o poder para os militares,Entregar o poder para um juiz honesto,"Decisões políticas passem a ser tomadas pelos próprios cidadãos por meio de consultas, como os plebiscitos",Fortalecer organizações comunitárias como as ONGs e os movimentos sociais,Lava Jato,Zelotes,CPTM,Mensalão Petista,Mensalão Tucano,Os manifestantes pró-impeachment não querem o fim da corrupção: querem apenas retirar a presidente Dilma,É preciso descriminalizar as drogas para diminuir o encarceramento dos mais pobres,O juiz Sérgio Moro é filiado ao PSDB,Quem protesta contra a corrupção é apenas a classe média que não quer que os mais pobres melhorem de vida.,Os protestos de junho de 2013 foram orquestrados pela direita,Todo tipo de abuso contra a mulher deve ser punido com prisão,Os protestos contra a corrupção são articulados pelos Estados Unidos para se apropriar do pré-sal,Escracho contra quem viola direitos humanos é uma punição justa.,Número do questionário
01/04/2016 11:40:26,Kauê Avanzi,17:58:00,III,,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia muito,Confia muito,Não conhece,Confia muito,Confia pouco,Confia muito,Confia muito,Não conhece,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Confia pouco,Confia pouco,Confia muito,Não confia,muito,pouco,muito,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Não sei,Não concorda,8
01/04/2016 11:42:58,Enzo Antonacci,20:05:00,II,35,Masculino,de R$ 8.800 a R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Confia pouco,Confia pouco,Confia muito,Confia pouco,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Confia pouco,muito,pouco,muito,Não concordo,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não concorda,Não concorda,26
01/04/2016 11:44:06,Kauê Avanzi,18:20:00,III,32,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Preta,veio espontaneamente,Pouco satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Confia pouco,nada,nada,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não sei,Concorda,Não concorda,Concorda,Não sei,Não concorda,9
01/04/2016 11:47:38,Kauê Avanzi,18:08:00,III,27,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia pouco,Não confia,Confia muito,Confia pouco,,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,nada,pouco,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Não concorda,Concorda,Não concorda,Não concorda,Não concorda,Concorda,Não concorda,Não concorda,10
01/04/2016 11:50:54,Kauê Avanzi,18:30:00,III,55,Masculino,de R$ 2.640 a R$ 4.400,ensino fundamental incompleto,Parda,veio espontaneamente,Muito satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia muito,Não conhece,Não conhece,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Não confia,Confia muito,Confia pouco,nada,nada,muito,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,11
01/04/2016 11:54:14,Kauê Avanzi,18:38:00,III,46,Feminino,"até R$ 1.760,00",ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia pouco,Não confia,Confia muito,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Não confia,nada,pouco,pouco,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,Não é grave,Não é grave,Concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,12
01/04/2016 11:57:43,Kauê Avanzi,18:42:00,III,37,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Confia muito,Confia pouco,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,pouco,muito,muito,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não concorda,Não concorda,13
01/04/2016 12:01:00,Kauê Avanzi,18:55:00,III,32,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Não confia,pouco,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Não concorda,Concorda,Não concorda,Concorda,Concorda,Não concorda,14
01/04/2016 12:04:08,Kauê Avanzi,19:06:00,III,53,Masculino,"até R$ 1.760,00",ensino fundamental incompleto,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia pouco,Não conhece,Não conhece,Não conhece,Não confia,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não conhece,Não confia,Não confia,Não confia,Confia muito,Não confia,pouco,pouco,pouco,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,15
01/04/2016 12:07:16,Kauê Avanzi,19:40:00,III,50,Feminino,"até R$ 1.760,00",ensino fundamental incompleto,Parda,veio atendendo convocação do sindicato ou movimento,Pouco satisfeito,Não confia,Não confia,Não confia,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia muito,Não conhece,Não conhece,Não conhece,Confia muito,Confia muito,Não conhece,Não conhece,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não conhece,Não confia,Não confia,Não confia,Não confia,Não confia,nada,nada,nada,Não concordo,Concordo totalmente,Não concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Concorda,16
