"meta:instanceID","StartTime","Device","previos:entrevistador","previos:regiao","idade:idade","social:sexo","social:renda","social:escolaridade","social:cor","social:religiao","frases:frases1","frases:frases2","frases:frases3","frases:frases4","frases:frases5","frases:frases6","frases:frases7","frases:frases8","frases:frases9","frases:frases10","frases:frases11","frases:frases12","frases:frases13","frases:frases14","frases:frases15","frases:frases16","frases:frases17","frases:frases18","frases:frases19","frases:frases20","frases:frases21","informacoes:informacao1","informacoes:informacao2","informacoes:informacao3","informacoes:informacao4","informacoes:manifestacao1","informacoes:manifestacao2","informacoes:manifestacao3","informacoes:manifestacao4","informacoes:esquerda1","informacoes:esquerda2","informacoes:conservador"
"uuid:5250c97c-f3fd-406a-b767-efd4f84a506a","Sat Oct 22 18:05:40 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","33","Masculino","até R$ 1.760","médio incompleto","parda","evangélica pentecostal","concorda","não concorda","concorda","não concorda","não sei","não concorda","concorda","não concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","muito","muito","muito","muito","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:87287637-58a5-43f5-9a09-fb23738fadd4","Sat Oct 22 18:14:37 UTC 2016","ac:d0:74:c9:d7:95","M beatrix","leste 3","35","Masculino","de R$ 1.760 a R$ 2.640","fundamental completo","parda","evangélica pentecostal","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não sei","concorda","concorda","não sei","não sei","não concorda","não concorda","concorda","não concorda","concorda","concorda","não concorda","muito","muito","pouco","pouco","não","não","não","não","nada disso",,"nada conservador(a)"
"uuid:eeb41112-0c80-45c3-923e-e78edb278ccc","Sat Oct 22 18:18:47 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","62","Feminino","até R$ 1.760","fundamental incompleto","preta","católica","não concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não sei","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","nada","nada","nada","nada","não","não","não","não","nada disso",,"não sei"
"uuid:e4547714-f4b3-417b-bfcc-2fb184a2450b","Sat Oct 22 16:47:42 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","43","Feminino","até R$ 1.760","fundamental incompleto","parda","evangélica pentecostal","concorda","não sei","concorda","concorda","concorda","não sei","concorda","não sei","não concorda","não sei","concorda","concorda","não concorda","não sei","concorda","não concorda","concorda","não concorda","não concorda","não sei","não sei","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"não sei"
"uuid:79cbc498-0357-4135-aa47-56dcccb62c3a","Sat Oct 22 17:00:45 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","43","Masculino","até R$ 1.760","médio completo","branca","católica","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","não concorda","pouco","nada","muito","muito",,"não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:918d37c2-d407-43f6-b207-85ce7b41585b","Sat Oct 22 17:26:09 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","73","Masculino","até R$ 1.760","fundamental incompleto","preta","católica","não concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","concorda","concorda","concorda","não concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","concorda","não concorda","nada","nada","muito","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:900bf29c-3830-45b0-9674-1200fb9c34bf","Sat Oct 22 17:36:05 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","32","Masculino",,"superior completo","parda","católica","não concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","concorda","não concorda","não concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","pouco","nada","pouco","nada","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:e4da25d2-6bbf-4231-b56a-852e5b607119","Sat Oct 22 17:42:32 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","23","Masculino","até R$ 1.760","superior incompleto","preta","nenhuma","não concorda","não sei","não concorda","concorda","concorda","não sei","concorda","não sei","concorda","não sei","não concorda","não concorda","não sei","não concorda","não concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","pouco","pouco","muito","nada","sim","não","não","sim","de centro","não sei","nada conservador(a)"
"uuid:94178a3b-dbeb-4bad-832c-cc7ba8f9ed48","Sat Oct 22 17:48:43 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","22","Masculino","de R$ 2.640 a R$ 4.400","médio completo","parda","evangélica pentecostal","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","não concorda",,"não concorda","concorda",,"não concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"muito conservador(a)"
"uuid:9ffa5bf3-b95c-4f06-993b-300ecdd56b47","Sat Oct 22 17:55:56 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","52","Masculino","de R$ 4.400 a R$ 8.800","superior completo","branca","católica","não sei","não sei","não sei","concorda","concorda","não sei","concorda","não sei","não sei","não sei","não sei","concorda","não concorda","não sei","não concorda","concorda","não concorda","não concorda","não concorda","concorda","não concorda","muito","muito","muito","pouco","não","não","não","não","não sei",,"um pouco conservador(a)"
"uuid:8c10a98d-c03d-4909-af0a-4c9a7c099970","Sat Oct 22 18:00:40 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","18","Masculino","de R$ 1.760 a R$ 2.640","médio incompleto","amarela","evangélica não pentecostal","não concorda","concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","não concorda","nada","muito","nada","muito","não","não","não","sim","nada disso",,"nada conservador(a)"
"uuid:b7b1cd74-e472-49c1-b0ab-f26b5d139714","Sat Oct 22 18:05:37 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","32","Masculino",,"médio completo","parda","evangélica não pentecostal","concorda","não sei","não concorda","concorda","concorda","concorda","concorda","não sei",,"concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","nada","pouco","nada","muito","não","não","não","não","não sei",,"um pouco conservador(a)"
