Timestamp,Entrevistador,Número do questionário,Horário,Região,1. Idade,2. Sexo,3. Renda familiar,4. Escolaridade,5. Cor,6. Você confia na imprensa?,7. Você confia nos partidos políticos?,Partidos: [8. PT],Partidos: [9. PSDB],Partidos: [10. PMDB],Partidos: [11. Rede],Partidos: [12. PSOL],Partidos: [13. PSTU],14. Você confia nas ONGS?,15. Você confia nos movimentos sociais?,Movimentos: [16. Movimento Brasil Livre],Movimentos: [17. Estudantes secundaristas],Movimentos: [18. MPL],Movimentos: [19. MST],Movimentos: [20. MTST],Movimentos: [21. Vem pra Rua],Movimentos: [22. Revoltados Online],23. Você confia nos políticos?,24. Você votou nas últimas eleições para Presidente?,25. Em quem votou?,26. Você é a favor do Impeachment da presidenta Dilma Rousseff?,27. Você foi em alguma manifestação a favor do Impeachment?,28. Você foi em alguma manifestação contrária ao Impeachment?,"29. Você foi em alguma manifestação pedindo o ""fora todos""?",30. Você se informa sobre política no Twitter?,31. Você se informa sobre política no Whatsapp?,32. Você se informa sobre política no Facebook?,33. Não há grande diferença entre governos de esquerda e de direita.,34. O PT é um partido corrupto.,"35. Conquistas do governo do PT como o Bolsa Família, o FIES e o Minha Casa, Minha Vida melhoraram a vida dos brasileiros",36. Os movimentos sociais deveriam ser independentes dos partidos políticos
5/20/2016 12:43:51,Gabriel Frare,20,6:05:00 PM,MASP,17,Masculino,"até R$ 1.760,00",ensino médio incompleto,parda,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,confia muito,confia pouco,não confia,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não,,não,não,sim,sim,nada,muito,muito,não concordo,concordo totalmente,concordo totalmente,não concordo
5/20/2016 12:45:19,leonardo simioni,13,5:42:00 PM,meio masp,24,Feminino,"até R$ 1.760,00",ensino superior incompleto,amarela,não confia,confia pouco,confia muito,não confia,não confia,não confia,confia muito,confia pouco,confia muito,confia muito,não conhece,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,sim,Dilma,não,não,não,não,nada,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/20/2016 12:46:06,Alan Ferreira Silva,8,4:55:00 PM,III,17,Masculino,acima de R$ 17.600,ensino médio completo,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,não conhece,confia muito,confia pouco,confia muito,confia muito,não confia,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,confia pouco,não,,não,não,sim,não,nada,pouco,muito,não sei,concordo em parte,concordo totalmente,concordo em parte
5/20/2016 12:48:34,leonardo simioni,13,6:00:00 PM,meio masp,33,Masculino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia muito,não confia,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,não confia,sim,Zé Maria,não,não,sim,não,muito,muito,muito,não concordo,concordo totalmente,concordo em parte,concordo em parte
5/20/2016 12:49:24,Alan Ferreira Silva,9,5:10:00 PM,Américo Brasiliense,17,Masculino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia muito,confia muito,não confia,confia pouco,não confia,não confia,não confia,não,,não,não,não,não,nada,muito,muito,concordo totalmente,concordo totalmente,concordo em parte,concordo totalmente
5/20/2016 12:50:09,leonardo simioni,14,6:10:00 PM,meio masp,26,Masculino,"até R$ 1.760,00",ensino superior incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não conhece,não conhece,não confia,sim,Luciana Genro,não,não,não,não,nada,pouco,nada,não concordo,concordo em parte,concordo em parte,concordo totalmente
5/20/2016 12:51:47,leonardo simioni,15,6:15:00 PM,meio masp,17,Masculino,"até R$ 1.760,00",ensino médio incompleto,parda,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,confia muito,confia muito,confia pouco,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não confia,confia pouco,não,,não,não,sim,sim,nada,muito,muito,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 12:52:16,Alan Ferreira Silva,10,5:15:00 PM,III,23,Masculino,"até R$ 1.760,00",ensino superior incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia muito,confia muito,confia pouco,confia pouco,não confia,não confia,não confia,sim,Mauro Iasi,não sei,não,não,não sei,nada,nada,muito,não concordo,concordo totalmente,concordo em parte,concordo totalmente
5/20/2016 12:53:47,leonardo simioni,16,6:35:00 PM,meio masp,16,Feminino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,não confia,confia muito,confia muito,confia pouco,confia pouco,não conhece,não conhece,confia pouco,não,,sim,sim,não,sim,pouco,pouco,muito,não concordo,concordo totalmente,concordo em parte,concordo totalmente
5/20/2016 12:55:13,Alan Ferreira Silva,11,5:21:00 PM,III,17,Feminino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não conhece,não confia,não confia,confia pouco,confia muito,confia pouco,confia muito,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não,,não,não,não,não,nada,pouco,pouco,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
