"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para concluir o bloco gostaria de fazer duas perguntas:";"A cassação da chapa Dilma/Temer está sendo discutida no Tribunal Superior Eleitoral e se aprovada Michel Temer perde o mandato. Você é a favor da cassação da chapa pelo TSE?";"Se Lula for candidato você pretende votar nele nas próximas eleições?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Religião:";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-31T17:43:34.198-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"33";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164009";"98cd2360-d620-4df2-93ac-0c55491238d7";"2017-03-31T23:02:22";"250"
"2017-03-31T17:49:19.127-03";"6f03616a4620a28f";"Fernada";"Região 1";"";"62";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164010";"9442fa0b-7ebd-40ae-b3bd-0d38f18269c9";"2017-03-31T23:02:22";"251"
"2017-03-31T17:58:49.538-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"42";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164011";"21f06460-6617-446c-b9e8-fd2812417470";"2017-03-31T23:02:22";"252"
"2017-03-31T18:08:14.426-03";"6f03616a4620a28f";"Fernanda ";"Região 1";"";"17";"Não sei";"centro";"mais de squerda";"nada conservador";"muito feminista";"não sei";"";"não sei";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"preta";"";"outra";"Agnóstico";"vQEVL8NJxFQs3kcu22s4A4";"3164012";"7bae11b3-3301-47d2-906d-a8411d641616";"2017-03-31T23:02:23";"253"
"2017-03-31T18:17:00.846-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"64";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164013";"d207bd47-7785-4ad1-88b9-cdb8d07bbb3b";"2017-03-31T23:02:23";"254"
"2017-03-31T18:23:29.336-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"17";"PT";"centro";"mais de squerda";"nada conservador";"não sei";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164014";"f3ac34aa-5e48-46fb-8b42-95e668015576";"2017-03-31T23:02:24";"255"
"2017-03-31T18:37:29.920-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"33";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não sei";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164015";"961d0d7d-f72a-44c2-97a7-d55a5d393c55";"2017-03-31T23:02:24";"256"
"2017-03-31T18:49:54.373-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"23";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"branca";"";"outra";"Cristão";"vQEVL8NJxFQs3kcu22s4A4";"3164016";"aa7c5822-9903-429c-b9f3-6d8cc9c7ed18";"2017-03-31T23:02:25";"257"
"2017-03-31T19:00:49.773-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"23";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164017";"9fadd467-4a46-4458-a57c-ea435a43300e";"2017-03-31T23:02:25";"258"
"2017-03-31T19:09:18.564-03";"6f03616a4620a28f";"Fernanda";"Região 1";"";"51";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164018";"ec48ee74-fa8a-4e61-9f93-c5a3729f51c2";"2017-03-31T23:02:26";"259"
"2017-03-31T16:06:52.914-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"20";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino médio completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164024";"7f2b63a6-5b57-4039-869d-78135df3024c";"2017-03-31T23:06:40";"260"
"2017-03-31T16:13:28.547-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"52";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164025";"5948093a-1f6e-40d3-af0b-2dc6464055eb";"2017-03-31T23:06:41";"261"
"2017-03-31T16:20:59.482-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"43";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164026";"69337c00-feaa-482b-ab70-6b3c23f2db7c";"2017-03-31T23:06:41";"262"
"2017-03-31T16:29:59.563-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"28";"PT";"nada disso";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164027";"46ffb6e7-0a2f-4c48-9882-14361d5ecc9f";"2017-03-31T23:06:42";"263"
"2017-03-31T16:36:12.528-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"29";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164028";"81aaa082-a0c8-4e37-ad22-e607dc1f28a7";"2017-03-31T23:06:43";"264"
"2017-03-31T16:42:10.086-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"61";"Nenhum";"de esquerda";"";"pouco conservador";"pouco feminista";"pouco antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"outra";"Protestante";"vQEVL8NJxFQs3kcu22s4A4";"3164029";"116cb301-87cf-43a9-a0a7-9dbebe2ac4e4";"2017-03-31T23:06:43";"265"
"2017-03-31T16:51:01.472-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"58";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"outra";"Agnostico";"vQEVL8NJxFQs3kcu22s4A4";"3164030";"7a43a378-73bc-4de8-864a-5ad81b46a249";"2017-03-31T23:06:44";"266"
"2017-03-31T17:00:47.281-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"31";"PT";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"sim";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"amarela";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164031";"4e8a42be-8b07-4289-9a4d-ac8a0cb02598";"2017-03-31T23:06:44";"267"
"2017-03-31T17:08:06.030-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"52";"Outro";"de esquerda";"";"nada conservador";"não sei";"não sei";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"masculino";"até R$1880,00";"ensino médio completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164032";"17462adb-9afb-4f6b-9fc6-bc987b47b480";"2017-03-31T23:06:45";"268"
"2017-03-31T17:24:41.052-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"18";"REDE";"não sei";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"masculino";"de R$1880,00 até R$2810,00";"ensino médio incompleto";"parda";"";"outra";"Naturalismo";"vQEVL8NJxFQs3kcu22s4A4";"3164033";"79519fb9-7b42-42c0-afd1-503b4a96bb5c";"2017-03-31T23:06:45";"269"
"2017-03-31T17:43:37.146-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"29";"PSOL";"de esquerda";"";"pouco conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"evangélica não pentecostal";"";"vQEVL8NJxFQs3kcu22s4A4";"3164034";"c228ceb2-b274-481f-a449-fc5db2a2232c";"2017-03-31T23:06:46";"270"
"2017-03-31T17:51:04.363-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"21";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164035";"a3f8b4e4-c92c-40f6-98f9-afb86ee85dce";"2017-03-31T23:06:47";"271"
"2017-03-31T17:57:24.472-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"56";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"judaica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164036";"f454b1b6-d6c6-4c07-ab2b-e870672f0a12";"2017-03-31T23:06:48";"272"
"2017-03-31T18:04:14.432-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"28";"PT";"de esquerda";"";"pouco conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3164037";"0e9c0365-4cbf-49ae-8c14-1adc0f31fc50";"2017-03-31T23:06:49";"273"
"2017-03-31T18:16:58.664-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"21";"Nenhum";"de esquerda";"";"pouco conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164038";"fe73af5a-de9d-4258-b70f-2bd9c9f325e2";"2017-03-31T23:06:49";"274"
"2017-03-31T18:23:25.851-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"19";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"preta";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3164039";"082b3097-c077-4400-acc1-8a1eab5cb2aa";"2017-03-31T23:06:50";"275"
"2017-03-31T18:28:32.176-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"40";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino superior completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164040";"dd8b7e41-ba4b-4d28-a562-8181df889a5f";"2017-03-31T23:06:50";"276"
"2017-03-31T18:34:21.684-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"46";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"mais de R$18740,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164041";"379b47f9-32b1-4e52-8159-a97cdecf0a35";"2017-03-31T23:06:51";"277"
"2017-03-31T18:41:01.096-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"22";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164042";"a655c0c1-8241-438b-8f01-da1d6e886910";"2017-03-31T23:06:51";"278"
"2017-03-31T18:48:59.412-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"33";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164043";"53e07e36-fecd-493b-bdf9-e38ad25a11ea";"2017-03-31T23:06:52";"279"
"2017-03-31T18:56:01.940-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"55";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"outra";"Candomble";"vQEVL8NJxFQs3kcu22s4A4";"3164045";"3df48dcb-eaa7-4339-8878-1e1ebbe5e189";"2017-03-31T23:06:53";"280"
"2017-03-31T19:01:04.022-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"38";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não sei";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164046";"a2a85ddf-9a1f-49b6-b189-266c932a017e";"2017-03-31T23:06:54";"281"
"2017-03-31T19:08:30.318-03";"ac:d0:74:c9:d7:95";"Helena";"1";"";"31";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164047";"77edf661-22cf-4441-9ab5-745f037f3a74";"2017-03-31T23:06:55";"282"
"2017-03-31T16:05:07.629-03";"ac:d0:74:8c:6f:d7";"Bia";"1";"";"41";"PSOL";"de esquerda";"";"pouco conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"";"sim";"não sei";"";"masculino";"de R$1880,00 até R$2810,00";"ensino médio completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3164049";"d21f8d37-df27-4f52-8892-52f2cc44f4d0";"2017-03-31T23:10:53";"283"
"2017-03-31T16:10:47.853-03";"ac:d0:74:8c:6f:d7";"Bia";"1";"";"62";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"";"sim";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"parda";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3164050";"9b3a30fe-d935-4439-8ecf-4494ebf8e137";"2017-03-31T23:10:53";"284"
"2017-03-31T16:16:18.653-03";"ac:d0:74:8c:6f:d7";"Bia";"1";"";"37";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3164051";"2061427d-9f3c-4970-a680-81a58dc1c3d4";"2017-03-31T23:10:54";"285"
