"start";"end";"Olá, estamos fazendo uma pesquisa acadêmica para conhecer os participantes da marcha. Você poderia responder umas perguntas? Não vai levar mais do que 5 minutos e você não precisa nos dizer o seu nome. ";"Qual é sua idade?";"Quais dos seguintes aspectos foram mais marcantes no assassinato de Marielle Franco? ";"Ela ser uma mulher negra:";"Ela ser uma vereadora eleita: ";"Ela ser uma representante da favela:";"Ela ser uma política íntegra:";"Ela ser defensora de direitos humanos:";"Você é a favor da intervenção do governo federal na segurança pública no Rio de Janeiro?";"Você acha que o exército deve auxiliar a polícia no combate ao crime nas grandes cidades?";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/junho de 2013";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/pedindo o impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/contrária ao impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/parada LGBT (parada Gay)";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/marcha da maconha";"Em quais desses veículos de notícia e opinião você confia? (as respostas são: "confia", "não confia" e "não sei")";"Jornal Folha de São Paulo";"Revista Veja";"Portal UOL";"Site Brasil 247";"Site Noticias Brasil Online";"Site Diário do Centro do Mundo";"Site O Diário Nacional";"Agora, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica mais?";"Outro:";"Algumas perguntas agora sobre como você se define.";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador(a)?";"Você se considera feminista?";"Você se considera antipetista?";"Para terminar, queria agora saber um pouco de você.";"Sexo:";"Outro:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"Outra:";"E qual é a sua religião? ";"Outra:";"Muito obrigado pelas respostas!";"_id";"_uuid";"_submission_time";"_index"
"2018-03-18T15:35:48.365-03";"2018-03-18T15:39:54.298-03";"";"38";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"confia";"não sei";"não confia";"não sei";"PT";"";"";"de esquerda";"mais de esquerda";"pouco conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"parda";"";"espírita/ kardecista";"";"";"9218313";"233e908b-e897-4ef9-9819-542ee526249c";"2018-03-18T21:45:47";"21"
"2018-03-18T15:46:36.658-03";"2018-03-18T15:51:58.257-03";"";"25";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 parada LGBT (parada Gay) marcha da maconha";"1";"0";"0";"1";"1";"";"não confia";"não confia";"não sei";"não sei";"não sei";"não sei";"não sei";"não sei";"";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"nada antipetista";"";"masculino";"";"até R$ 1.908";"ensino superior incompleto";"branca";"";"nenhuma";"";"";"9218314";"b9587215-2ab5-4e65-b668-5c1c64a88f36";"2018-03-18T21:45:48";"22"
"2018-03-18T15:52:07.140-03";"2018-03-18T15:56:48.563-03";"";"40";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"não confia";"nenhum";"";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 2.862 a R$ 4.770";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218315";"3019f07b-6986-43fc-8789-fca9181c127b";"2018-03-18T21:45:49";"23"
"2018-03-18T15:57:01.558-03";"2018-03-18T16:02:02.169-03";"";"42";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"parada LGBT (parada Gay)";"0";"0";"0";"1";"0";"";"confia";"não confia";"confia";"não sei";"não sei";"não sei";"não sei";"Rede";"";"";"de esquerda";"mais de direita";"nada conservador";"muito feminista";"nada antipetista";"";"masculino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"espírita/ kardecista";"";"";"9218316";"2c510e5e-7470-4396-93cd-ba0f73bb1433";"2018-03-18T21:45:50";"24"
"2018-03-18T16:02:14.842-03";"2018-03-18T16:06:36.548-03";"";"30";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"confia";"não confia";"confia";"não confia";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"mais de direita";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"preta";"";"nenhuma";"";"";"9218317";"c4c8f22d-d899-431e-be40-efa2fe7e6c6d";"2018-03-18T21:45:50";"25"
"2018-03-18T13:24:47.494-03";"2018-03-18T13:35:28.901-03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9218346";"ed4e7d57-6ad3-45cb-bc5d-d2fa28a03102";"2018-03-18T21:47:58";"26"
"2018-03-18T13:53:13.158-03";"2018-03-18T14:14:20.471-03";"";"24";"";"muito marcante";"muito marcante";"muito marcante";"um pouco marcante";"muito marcante";"não";"não";"junho de 2013 parada LGBT (parada Gay)";"1";"0";"0";"1";"0";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"outro";"Pstu";"";"de centro";"mais de esquerda";"nada conservador";"muito feminista";"não sei";"";"feminino";"";"acima de R$ 19.080";"ensino superior incompleto";"branca";"";"outra";"Candomblé";"";"9218347";"320d4696-eee2-4951-9ff7-9712e977fdca";"2018-03-18T21:47:59";"27"
"2018-03-18T15:05:33.304-03";"2018-03-18T15:10:11.407-03";"";"29";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 parada LGBT (parada Gay)";"1";"0";"0";"1";"0";"";"confia";"não confia";"confia";"confia";"não sei";"confia";"não sei";"PSOL";"";"";"nada disso";"";"nada conservador";"muito feminista";"pouco antipetista";"";"feminino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218348";"62b162dc-b8e0-4fbe-a47b-6ae9b290efd6";"2018-03-18T21:48:00";"28"
"2018-03-18T15:11:04.862-03";"2018-03-18T15:17:29.939-03";"";"25";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"";"";"";"";"";"";"";"não confia";"não confia";"confia";"não sei";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"masculino";"";"até R$ 1.908";"ensino superior incompleto";"branca";"";"nenhuma";"";"";"9218349";"0d448eff-be55-47e0-8680-064ef202d081";"2018-03-18T21:48:01";"29"
"2018-03-18T15:22:56.917-03";"2018-03-18T15:27:39.651-03";"";"31";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"confia";"não confia";"confia";"não sei";"não sei";"não sei";"não sei";"PT";"";"";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"parda";"";"católica";"";"";"9218350";"0eba7575-9a81-49a7-89e0-503b00984077";"2018-03-18T21:48:02";"30"
"2018-03-18T15:29:09.526-03";"2018-03-18T15:33:44.508-03";"";"37";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"0";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"confia";"não sei";"confia";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218352";"38f7b5ad-80a2-454f-b409-57bd8b664feb";"2018-03-18T21:48:03";"31"
"2018-03-18T15:38:46.633-03";"2018-03-18T15:45:40.512-03";"";"25";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"";"";"";"";"";"";"";"confia";"não confia";"não sei";"não sei";"não sei";"não sei";"não sei";"não sei";"";"";"de esquerda";"";"pouco conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"amarela";"";"nenhuma";"";"";"9218353";"1addb127-2399-4fdb-b61a-0d97771f12aa";"2018-03-18T21:48:04";"32"
"2018-03-18T15:47:02.844-03";"2018-03-18T15:52:28.111-03";"";"30";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"1";"0";"1";"1";"1";"";"não sei";"não confia";"não confia";"não sei";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 2.862 a R$ 4.770";"ensino superior completo";"preta";"";"umbanda";"";"";"9218354";"0e7153dc-c754-4c37-8dab-5fd84c306fb7";"2018-03-18T21:48:05";"33"
"2018-03-18T15:53:16.159-03";"2018-03-18T15:57:28.055-03";"";"17";"";"muito marcante";"um pouco marcante";"muito marcante";"um pouco marcante";"muito marcante";"não";"não";"contrária ao impeachment da ex-presidente Dilma Rousseff";"0";"0";"1";"0";"0";"";"confia";"não confia";"confia";"confia";"não sei";"confia";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"masculino";"";"de R$ 4.770 a R$ 9.540";"ensino superior incompleto";"branca";"";"nenhuma";"";"";"9218355";"070e7fb9-586a-43eb-90f2-e59743b763c9";"2018-03-18T21:48:05";"34"
