"","Entrevistador","Horário","Região","Idade","Sexo","Renda","Escolaridade","Cor","Especificar","Sistema.Político","Político.Honesto","Fora.do.Jogo","Militares","Juiz.Honesto","Plebiscitos","Movimentos.Sociais","Lava.Jato","Zelotes","Metrô","Mensalão.PT","Mensalão.PSDB","Dilma","Alckmin","Haddad","Aécio","Cunha","Calheiros","Figura.Honesta","Impostos","Falta.Recursos","Corrupção","Má.administração","Financiamento.Empresarial","Saúde.todos","Saúde.gratuita","Mais.Médicos","Educação.todos","Educação.gratuita","Transporte.todos","Transporte.gratuito","Reduzir.impostos","Red.imp.alguns","Esforço","Punição","Maconha","Haitianos","Estupros","Gays","Negros","Joaquim.Levy","Crise.hídrica","Partido","Prefeitura"
"105","Flávio Américo Tonnetti","13:45","3",25,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","preta",NA,"3- não satisfeito","4- não sei","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","3- não sei","2- não","3- não sei","","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não sei","1- muita","1- PT","Datena"
"106","Flávio Américo Tonnetti","13:32","3",56,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","4- não sei","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","3- não sei","1- sim","3- não sei","3- não sei","1- sim","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não sei","1- muita","2- PSDB","nenhum"
"107","Flávio Américo Tonnetti","13:21","3",60,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","3- não concordo","1- concordo totalmente","1- grave","1- grave","3- não sei","1- grave","3- não sei","1- sim","2- não","3- não sei","3- não sei","3- não sei","1- sim","Sérgio Moro","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","todos","João Doria"
"108","Flávio Américo Tonnetti","13:10","3",54,"Masculino","até R$ 1.576","médio completo","parda",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Sérgio Contente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","3- não sei","1- muita","ambos","nenhum"
"109","Flávio Américo Tonnetti","13:00","3",34,"Masculino","de R$ 1.576 a R$ 2.364","superior completo","preta",NA,"3- não satisfeito","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","3- não sei","3- não sei","3- não sei","3- não sei","1- sim","Magno Malta","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","3- não sei","1- muita","2- PSDB","Russomano"
"110","Flávio Américo Tonnetti","13:00","3",28,"Masculino","até R$ 1.576","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","1- grave","3- não sei","1- grave","1- grave","1- grave","3- não sei","3- não sei","3- não sei","3- não sei","3- não sei","3- não sei","Romário","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","2- PSDB","nenhum"
"111","Flávio Américo Tonnetti","12:50","3",42,"Masculino","de R$ 2.364 a R$ 3.940","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","2- não","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","2- PSDB","nenhum"
"112","Paula Graciele Rodrigues","16:29","3",41,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- grave","3- não sei","1- grave","1- grave","2- não grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","FHC","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","todos","nenhum"
"113","Paula Graciele Rodrigues","16:18","3",24,"Masculino","de R$ 3.940 a R$ 7.880","superior incompleto","amarela",NA,"3- não satisfeito","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Dom Bertrand de Orleans e Bragança","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","2- não","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","3- não sei","2- pouca","todos","Datena"
"114","Paula Graciele Rodrigues","16:02","3",22,"Feminino","de R$ 2.364 a R$ 3.940","superior completo","parda",NA,"3- não satisfeito","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","3- não sei","3- não sei","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","4- não sei","1- concordo totalmente","4- não sei","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","3- não sei","1- muita","todos","nenhum"
