Entrevistador,Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,especificar,Imprensa,Folha,Estado,Veja,Carta.Capital,J.Nacional,J.Record,Globo.News,El.País,BBC,Partidos,PT,PSDB,PMDB,Rede,PSOL,ONGs,Mov.sociais,Vem.pra.rua,Brasil.Livre,MPL,MST,Revoltados,MTST,Políticos,Aécio.Neves,Dilma.Rousseff,Eduardo.Cunha,Fernando.Haddad,Geraldo.Alckmin,Jair.Bolsonaro,Jean.Wyllys,José.Serra,Luciana.Genro,Lula,Marina.Silva,Pastor.Feliciano,Liderança.política,Internet,Twitter,perfil,Whatsapp,Facebook,página,Sites,qual.site,Blogs,qual.blog,Demétrio.Magnoli,Guilherme.Boulos,Gregório.Duvivier,Jânio.de.Freitas,José.Luiz.Datena,Luis.Nassif,Olavo.de.Carvalho,Paulo.Henrique.Amorim,Raquel.Sherazade,Reinaldo.Azevedo,William.Bonner,Vladimir.Safatle,qual.comentarista,regime.comunista,friboi,petrobras,bolivariana,racismo,pcc,bolsa.familia,haitianos
Carolina Martins,,,16,Feminino,de R$ 2.364 a R$ 3.940,médio incompleto,branca,,não confia,confia pouco,confia pouco,não conhece,não conhece,confia pouco,confia pouco,confia pouco,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,não conhece,não conhece,não conhece,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,pouco,pouco,Apenas por páginas de amigos,pouco,,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,não conhece,não conhece,confia pouco,não conhece,Datena,não concorda,concorda,não concorda,não sei,não concorda,não sei,não concorda,não sei
Carolina Martins,,,64,Feminino,de R$ 7.880 a R$ 15.760,superior completo,branca,,confia pouco,confia pouco,confia pouco,confia pouco,não conhece,não confia,confia pouco,não confia,não conhece,não conhece,não confia,não confia,não confia,não confia,confia pouco,não confia,confia muito,confia muito,confia muito,não conhece,não conhece,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia muito,não confia,Marina Silva,sim,nada,,pouco,muito,Apenas por páginas de amigos,muito,Folha de SP,nada,,não conhece,não conhece,confia pouco,confia muito,não confia,confia muito,não conhece,confia pouco,confia muito,confia pouco,não confia,não conhece,,concorda,concorda,concorda,não sei,concorda,não concorda,concorda,não concorda
Carolina Martins,,,54,Masculino,de R$ 7.880 a R$ 15.760,médio completo,parda,,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não conhece,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,confia muito,confia pouco,confia muito,confia muito,,confia pouco,não confia,confia pouco,não confia,confia pouco,não confia,confia pouco,confia muito,confia pouco,não confia,confia pouco,não confia,,sim,pouco,,muito,muito,Apenas por páginas de amigos,muito,"Jornal Cultura, Globo, Sbt",nada,,não conhece,confia muito,não conhece,não confia,confia muito,confia muito,não conhece,confia muito,confia muito,não conhece,confia muito,não conhece,Vilas (Cultura),não concorda,concorda,concorda,não sei,não concorda,concorda,concorda,não sei
Carolina Martins,,,16,Masculino,de R$ 7.880 a R$ 15.760,médio incompleto,branca,,confia pouco,confia pouco,confia muito,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,confia muito,confia pouco,não confia,confia muito,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia muito,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,José Serra,sim,nada,,pouco,pouco,Apenas por páginas de amigos,muito,Site Estadão,nada,,confia muito,não conhece,não confia,não conhece,não confia,não conhece,não confia,não conhece,não confia,não confia,confia pouco,não conhece,Ricardo Boechat,não concorda,não concorda,não sei,concorda,não concorda,não concorda,não concorda,não concorda
Carolina Martins,,,53,Masculino,acima de R$ 15.760,superior completo,branca,,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Joaquim Barbosa,sim,nada,,nada,muito,Por página (várias),muito,,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,não confia,confia muito,confia muito,não confia,não conhece,,concorda,não sei,concorda,concorda,concorda,concorda,não concorda,não concorda
Carolina Martins,,,42,Feminino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não conhece,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,nada,nada,,pouco,,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,confia pouco,confia pouco,não conhece,não confia,não conhece,,concorda,não sei,concorda,concorda,concorda,não sei,não sei,concorda
Carolina Martins,,,54,Masculino,de R$ 7.880 a R$ 15.760,superior completo,branca,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não conhece,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,não confia,não conhece,não confia,confia pouco,confia pouco,não conhece,não confia,não conhece,confia pouco,não confia,não conhece,confia pouco,não confia,não conhece,não confia,não conhece,,não,pouco,,pouco,nada,Apenas por páginas de amigos,pouco,Globo News,nada,,não conhece,não conhece,não conhece,não conhece,não confia,confia pouco,não conhece,confia pouco,não conhece,não conhece,não confia,não conhece,João Paullo de Andreade,concorda,não sei,concorda,não sei,concorda,não sei,não concorda,não sei
Carolina Martins,,,52,Masculino,de R$ 2.364 a R$ 3.940,superior completo,branca,,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,muito,nada,Apenas por páginas de amigos,pouco,,nada,,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia pouco,não conhece,Professor Vila,concorda,não sei,concorda,concorda,não concorda,concorda,não concorda,não concorda
Carolina Martins,,,29,Masculino,de R$ 7.880 a R$ 15.760,superior completo,branca,,não confia,não confia,confia pouco,confia muito,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,confia muito,Jair Bolsonaro,sim,nada,,muito,muito,Associação Democracia e Liberdade,muito,,pouco,,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,confia muito,confia muito,não confia,não confia,Olavo de Carvalho,concorda,concorda,concorda,concorda,concorda,concorda,não concorda,concorda
Carolina Martins,,,61,Feminino,de R$ 2.364 a R$ 3.940,superior incompleto,branca,,confia pouco,confia pouco,confia pouco,confia muito,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,,não,nada,,pouco,pouco,Apenas por páginas de amigos,pouco,,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,não conhece,confia muito,não conhece,não conhece,não confia,não conhece,,não sei,concorda,concorda,não sei,não concorda,concorda,concorda,não sei
Guilherme Gomes,03:50:00 PM,Zona 3,20,Masculino,de R$ 2.364 a R$ 3.940,superior completo,branca,,não confia,confia pouco,confia pouco,não confia,não conhece,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,não conhece,não confia,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,não confia,confia pouco,não confia,,sim,nada,,nada,muito,Apenas por páginas de amigos,muito,TYT – NY,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,não conhece,confia pouco,não confia,não conhece,não confia,não conhece,,concorda,concorda,concorda,não concorda,concorda,concorda,concorda,não concorda
Guilherme Gomes,,Zon,61,Feminino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia pouco,confia pouco,confia pouco,confia pouco,não conhece,confia pouco,confia pouco,confia pouco,não conhece,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,nada,muito,Amigos e movimentos,muito,"Globo News, Cultura, Globo",nada,,não conhece,não conhece,não conhece,confia pouco,confia pouco,confia pouco,não conhece,confia pouco,confia pouco,confia pouco,confia pouco,não conhece,,concorda,concorda,concorda,não concorda,não concorda,concorda,concorda,não concorda
Guilherme Gomes,,Zona 3,31,Masculino,até R$ 1.576,superior incompleto,parda,,não confia,não confia,não confia,confia pouco,não conhece,confia pouco,confia pouco,não confia,não conhece,não conhece,não confia,não confia,confia pouco,não confia,não conhece,não conhece,não confia,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,não confia,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não conhece,confia pouco,não conhece,não confia,não confia,não confia,,sim,muito,Folha,muito,muito,Apenas por páginas de amigos,muito,Folha de SP,muito,,confia muito,não confia,não conhece,não conhece,confia muito,não conhece,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,,concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
